date,heart_rate_mean,heart_rate_min,heart_rate_max,heart_rate_std,hrv_mean,hrv_min,hrv_max,hrv_std,steps_sum,steps_max,resting_hr_mean,vo2max_mean,respiratory_rate_mean,respiratory_rate_min,respiratory_rate_max,spo2_percent_mean,spo2_percent_min,active_energy_cal_sum,basal_energy_cal_sum,distance_walk_run_m_sum,flights_sum,exercise_minutes_sum,stand_minutes_sum,sleeping_wrist_temp_degF_mean,sleep_minutes_sum
2018-02-10,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,1980.0,397.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.276,405.262,0.8184947300000001,26.0,26.0,52.0,96.2188,0.4333333333333316
2018-02-11,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4239.0,386.0,70.0,34.25,20.5,20.5,20.5,0.9900000000000001,0.99,4.158,514.371,1.690670782,33.0,33.0,66.0,96.2188,0.5499999999999978
2018-02-12,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,4905.0,437.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.418,670.241,1.99404759,43.0,43.0,86.0,96.2188,0.7166666666666638
2018-02-13,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6242.0,387.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,6.426,794.937,2.496313561,51.0,51.0,102.0,96.2188,0.8499999999999966
2018-02-14,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,5133.0,460.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,5.418,670.241,2.004737106,43.0,43.0,86.0,96.2188,0.7166666666666638
2018-02-15,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,8350.0,483.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,7.434,919.633,3.19110221,59.0,59.0,118.0,96.2188,0.9833333333333294
2018-02-16,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3299.0,325.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,5.166,639.067,1.13894249,41.0,41.0,82.0,96.2188,0.6833333333333306
2018-02-17,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3396.0,402.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,3.654,452.02299999999997,1.55988345,29.0,29.0,58.0,96.2188,0.4833333333333314
2018-02-18,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,3000.0,460.0,70.0,34.25,20.5,20.5,20.5,0.99,0.99,4.914,607.893,1.095316324,39.0,39.0,78.0,96.2188,0.6499999999999975
2018-02-19,79.0,79.0,79.0,0.0,132.015,132.015,132.015,0.0,6808.0,539.0,70.0,34.25,20.5,20.5,20.5,0.9899999999999999,0.99,8.568,1059.916,2.23185374,68.0,68.0,136.0,96.2188,1.1333333333333289
